date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:12:46	177/177	---MC-	200	added ('OK')	text/plain	date:Wed,%2016%20Apr%202025%2002:12:57%20GMT	https://lhtourlanchas.com.br/robots.txt		(from )
23:12:47	124198/124198	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Apr%202025%2002:12:57%20GMT	https://lhtourlanchas.com.br/	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/index.html	(from )
23:12:47	114706/114706	---M--	200	added ('OK')	text/css	etag:%2267817204-1c012%22	https://lhtourlanchas.com.br/wp-includes/css/dist/block-library/style.min.css?ver=6.7.2	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-includes/css/dist/block-library/style.mind1c0.css	(from https://lhtourlanchas.com.br/)
23:12:47	44548/44548	---MC-	200	added ('OK')	application/rss+xml	etag:%22d1b51b0e83c76086207c388cef310eb1%22	https://lhtourlanchas.com.br/feed/	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/feed/index.html	(from https://lhtourlanchas.com.br/)
23:12:47	758/758	---MC-	200	added ('OK')	application/rss+xml	etag:%22d1b51b0e83c76086207c388cef310eb1%22	https://lhtourlanchas.com.br/comments/feed/	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/comments/feed/index.html	(from https://lhtourlanchas.com.br/)
23:12:47	44023/44023	---M--	200	added ('OK')	text/css	etag:%22614a7dc9-abf7%22	https://lhtourlanchas.com.br/wp-content/plugins/wp-whatsapp/assets/dist/css/style.css?ver=6.7.2	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/wp-whatsapp/assets/dist/css/styled1c0.css	(from https://lhtourlanchas.com.br/)
23:12:48	54503/54503	---M--	200	added ('OK')	text/css	etag:%22614d2cbf-d4e7%22	https://lhtourlanchas.com.br/wp-content/plugins/ht-mega-for-elementor/assets/css/htbbootstrap.css?ver=1.6.5	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/ht-mega-for-elementor/assets/css/htbbootstrapfeec.css	(from https://lhtourlanchas.com.br/)
23:12:48	345697/345697	---M--	200	added ('OK')	text/css	etag:%22614d2cbf-54661%22	https://lhtourlanchas.com.br/wp-content/plugins/ht-mega-for-elementor/assets/css/htmega-widgets.css?ver=1.6.5	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/ht-mega-for-elementor/assets/css/htmega-widgetsfeec.css	(from https://lhtourlanchas.com.br/)
23:12:48	30999/30999	---M--	200	added ('OK')	text/css	etag:%2261462776-7917%22	https://lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://lhtourlanchas.com.br/)
23:12:49	74582/74582	---M--	200	added ('OK')	text/css	etag:%22614d2cbf-12356%22	https://lhtourlanchas.com.br/wp-content/plugins/ht-mega-for-elementor/assets/css/animation.css?ver=1.6.5	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/ht-mega-for-elementor/assets/css/animationfeec.css	(from https://lhtourlanchas.com.br/)
23:12:49	4730/4730	---M--	200	added ('OK')	text/css	etag:%22614d2cbf-127a%22	https://lhtourlanchas.com.br/wp-content/plugins/ht-mega-for-elementor/assets/css/htmega-keyframes.css?ver=1.6.5	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/ht-mega-for-elementor/assets/css/htmega-keyframesfeec.css	(from https://lhtourlanchas.com.br/)
23:12:49	18211/18211	---M--	200	added ('OK')	text/css	etag:%22614d4802-4723%22	https://lhtourlanchas.com.br/wp-content/themes/kadence/assets/css/global.min.css?ver=1.1.5	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/themes/kadence/assets/css/global.mind279.css	(from https://lhtourlanchas.com.br/)
23:12:50	224474/224474	---M--	200	added ('OK')	image/jpeg	etag:%225fd94091-3a351%22	https://startertemplatecloud.com/e05/wp-content/uploads/sites/6/2020/12/pexels-fauxels-3182823.jpg	C:/Meus%20Sites/vamo%20la/startertemplatecloud.com/e05/wp-content/uploads/sites/6/2020/12/pexels-fauxels-3182823.jpg	(from https://lhtourlanchas.com.br/)
23:12:50	29750/29750	---M--	200	added ('OK')	text/css	etag:%22614d4802-7436%22	https://lhtourlanchas.com.br/wp-content/themes/kadence/assets/css/header.min.css?ver=1.1.5	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/themes/kadence/assets/css/header.mind279.css	(from https://lhtourlanchas.com.br/)
23:12:50	31164/31164	---M--	200	added ('OK')	text/css	etag:%22614d4802-79bc%22	https://lhtourlanchas.com.br/wp-content/themes/kadence/assets/css/content.min.css?ver=1.1.5	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/themes/kadence/assets/css/content.mind279.css	(from https://lhtourlanchas.com.br/)
23:12:50	18294/18294	---M--	200	added ('OK')	text/css	etag:%22614d4802-4776%22	https://lhtourlanchas.com.br/wp-content/themes/kadence/assets/css/footer.min.css?ver=1.1.5	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/themes/kadence/assets/css/footer.mind279.css	(from https://lhtourlanchas.com.br/)
23:12:51	17679/17679	---M--	200	added ('OK')	text/css	etag:%2261462776-450f%22	https://lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.12.0	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minb683.css	(from https://lhtourlanchas.com.br/)
23:12:51	131330/131330	---M--	200	added ('OK')	text/css	etag:%2261462775-20102%22	https://lhtourlanchas.com.br/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.4.4	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/elementor/assets/css/frontend.minedb1.css	(from https://lhtourlanchas.com.br/)
23:12:54	0/0	---M--	302	error ('Found')	text/html		http://lhtourlanchas.com.br/wp-content/uploads/2021/09/ivan-ragozin-o9oQaOGpLz0-unsplash-scaled.jpg	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/uploads/2021/09/ivan-ragozin-o9oQaOGpLz0-unsplash-scaled.f.delayed	(from https://lhtourlanchas.com.br/)
23:12:54	200672/200672	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261462776-30fe0%22	https://lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.10.0	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.eot	(from https://lhtourlanchas.com.br/)
23:12:55	0/0	---M--	302	error ('Found')	text/html		http://lhtourlanchas.com.br/wp-content/uploads/2021/09/Praia-da-Ilha-do-Farol-Arraial-do-Cabo-1024x768-1.jpg	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/uploads/2021/09/Praia-da-Ilha-do-Farol-Arraial-do-Cabo-1024x768-1.11.delayed	(from https://lhtourlanchas.com.br/)
23:12:55	371194/371194	---M--	200	added ('OK')	image/jpeg	etag:%2261462c9d-5a9fa%22	https://lhtourlanchas.com.br/wp-content/uploads/2021/09/ivan-ragozin-o9oQaOGpLz0-unsplash-scaled.jpg	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/uploads/2021/09/ivan-ragozin-o9oQaOGpLz0-unsplash-scaled.jpg	(from https://lhtourlanchas.com.br/)
23:12:57	0/0	---M--	302	error ('Found')	text/html		http://lhtourlanchas.com.br/wp-content/uploads/2020/12/waves_02.png	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/uploads/2020/12/waves_02.13.delayed	(from https://lhtourlanchas.com.br/)
23:12:57	106757/106757	---M--	200	added ('OK')	image/jpeg	etag:%226154a71b-1a105%22	https://lhtourlanchas.com.br/wp-content/uploads/2021/09/Praia-da-Ilha-do-Farol-Arraial-do-Cabo-1024x768-1.jpg	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/uploads/2021/09/Praia-da-Ilha-do-Farol-Arraial-do-Cabo-1024x768-1.jpg	(from https://lhtourlanchas.com.br/)
23:12:57	133611/133611	---M--	200	added ('OK')	image/png	etag:%2261464bb7-209eb%22	https://lhtourlanchas.com.br/wp-content/uploads/2020/12/waves_02.png	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/uploads/2020/12/waves_02.png	(from https://lhtourlanchas.com.br/)
23:12:57	59344/59344	---M--	200	added ('OK')	text/css	etag:%2261462776-e7d0%22	https://lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.4.4	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minedb1.css	(from https://lhtourlanchas.com.br/)
23:12:57	26702/26702	---M--	200	added ('OK')	text/css	etag:%2261462776-684e%22	https://lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.4.4	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.minedb1.css	(from https://lhtourlanchas.com.br/)
23:12:58	3903/3903	---M--	200	added ('OK')	text/css	etag:%2261464b95-f3f%22	https://lhtourlanchas.com.br/wp-content/plugins/fluentform/public/css/fluent-forms-elementor-widget.css?ver=4.2.21	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/fluentform/public/css/fluent-forms-elementor-widget71f9.css	(from https://lhtourlanchas.com.br/)
23:12:58	57912/57912	---M--	200	added ('OK')	text/css	etag:%2261462776-e238%22	https://lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://lhtourlanchas.com.br/)
23:12:58	669/669	---M--	200	added ('OK')	text/css	etag:%2261462776-29d%22	https://lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://lhtourlanchas.com.br/)
23:12:59	675/675	---M--	200	added ('OK')	text/css	etag:%2261462776-2a3%22	https://lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	C:/Meus%20Sites/vamo%20la/lhtourlanchas.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://lhtourlanchas.com.br/)
